Stakeholder Name,Role,Stakeholder quote related to Fortescue,Translation,Sentiment
[Adrian Huber](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CMJ-3BK1-DY19-C008-00000-00&context=1519360),Senior Legal Counsel at Fortescue,"""I am informed by Mr Huber and believe it to be true that he today instructed Lancasters to investigate whether Dr Kolodziejczyk and Mr Masterman are presently located in [Western Australia's] Port Hedland or Boodarie.""",N.A.,Negative,
[Adrian Huber](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D2C-0TD1-F0JP-W12N-00000-00&context=1519360),Fortescue's senior legal counsel,"""Rat-holed inside 691 pages filed by Adrian Huber, Fortescue's senior legal counsel, are details of a confidential investigation that had been run into Kolodziejczyk.""",N.A.,Negative,
[Adrian Prendergast](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CK4-TCF1-JD3N-5118-00000-00&context=1519360),Analyst at Morgans,"""Fortescue maintains a healthy balance sheet, but its capex-heavy mine replacement, decarbonisation, and sustainability investments are placing an increasing load on its base iron ore business in terms of capital requirements.""",N.A.,Negative,
[Adrian Prendergast](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CVP-V4H1-JD34-V01M-00000-00&context=1519360),Morgans analyst,"""The stock had become oversold following two discounted block trades in two months and fears around China growth [where we expect much more stable iron ore fundamentals].""",N.A.,Negative,
[Agustin Pichot](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C8R-1K01-F0J6-J1YV-00000-00&context=1519360),Regional Director for Energy at Fortescue,"""Mr Pichot is already Fortescue Latin America president and recently filled in for head of corporate communications Fiona Sugden after she departed to join Prime Minister Anthony Albanese's media team.""",N.A.,Neutral,
[Allan Myers](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D6V-71H1-JD3N-54MT-00000-00&context=1519360),Chairman of Minderoo,"""The unprecedented generosity, vision and optimism of Andrew and Nicola Forrest is embodied in the Minderoo Foundation. I will do my best as chair to help realise their aspirations for the enduring benefit of Australia and the wider world.""",N.A.,Positive,
[Allegra Spender](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DC0-PTB1-F0J6-J3VR-00000-00&context=1519360),Wentworth MP,"""I know that Kate is passionate about this, and so am I. We need to have long-term reform in the tax system and the diesel fuel rebate is an example of that.""",N.A.,Negative,
"[Andrew ""Twiggy"" Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BCW-9W51-DYG0-9005-00000-00&context=1519360)",Fortescue Group's founder,"""Fortescue's performance in the first half of FY24 has been excellent, with the team achieving our second highest first-half shipments while maintaining our strong focus on safety and keeping our costs low.""",N.A.,Positive,
"[Andrew ""Twiggy"" Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C11-TKK1-DY19-C01P-00000-00&context=1519360)",Billionaire and Fortescue's Chairman,"""Forrest is thinking big.""",N.A.,Positive,
"[Andrew ""Twiggy"" Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CS2-XNM1-JC0X-K00H-00000-00&context=1519360)","Billionaire, controlled Fortescue","""Fortescue did not do this, hyping up its weak case as strong by failing to bring the court's attention to key information.""",N.A.,Negative,
"[Andrew ""Twiggy"" Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DBX-C9N1-DYG0-927S-00000-00&context=1519360)",Green energy champion and Fortescue's founder,"""This is surely the moment we put those doubts to rest.""",N.A.,Positive,
[Andrew 'Twiggy' Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DBG-5YN1-DYDT-83B7-00000-00&context=1519360),"Mining magnate, Fortescue Metals Group","""Fortescue's withdrawal... marks another instance of Forrest pulling out of a green deal before it came to fruition.""",N.A.,Negative,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B11-8P21-JBN5-F056-00000-00&context=1519360),Fortescue's Chairman,"""No one was injured in the incident and there is no impact to members of the community.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B1R-MW51-F0J6-J00D-00000-00&context=1519360),Fortescue's CEO,"""Fortescue said the derailment involved multiple wagons but declined to say how many or reveal additional details on the extent of the damage.""",N.A.,Negative,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B25-K0V1-F0J6-J012-00000-00&context=1519360),Executive Chairman of Fortescue,"""Fortescue's executive chairman, Andrew Forrest, has spent the past few years warning about the threat of global warming and more recently lethal humidity.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B4V-5361-F0JP-W13G-00000-00&context=1519360),Fortescue Energy's Executive Chairman,"""Plug is a key partner for Andrew Forrest's Fortescue Energy.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B5T-3681-F0J6-J017-00000-00&context=1519360),Founder of Fortescue,"""Fortescue is the nation's biggest hydrogen bull.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B63-X5T1-JD3N-50M0-00000-00&context=1519360),"Billionaire, Fortescue's controller","""Fortescue owns about 70% of the operation, with the remainder controlled by Taiwan's Formosa.""",N.A.,Neutral,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BCW-H5V1-DY19-C00H-00000-00&context=1519360),Founder and Executive Chairman,"""Whether it's through our first green energy projects, our diversification into the high-grade segment of the iron ore market through Iron Bridge, or expansion of our global footprint with the Belinga iron ore project in Gabon, we remain committed to creating value for all our stakeholders.""",N.A.,Positive,
